STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/26/2019,72,89,62
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/27/2019,74,81,66
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/28/2019,68,71,62
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/29/2019,63,68,56
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/30/2019,60,68,56
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/31/2019,70,81,61
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/1/2019,71,80,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/2/2019,71,83,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/3/2019,67,72,60
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/4/2019,64,73,57
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/5/2019,72,82,66
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/6/2019,76,83,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/7/2019,72,81,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/8/2019,71,80,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/9/2019,68,78,61
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/10/2019,63,70,59
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/11/2019,69,77,64
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/12/2019,68,74,62
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/13/2019,63,65,57
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/14/2019,65,76,61
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/15/2019,73,84,62
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/16/2019,75,83,68
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/17/2019,74,76,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/18/2019,71,75,65
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/19/2019,68,72,64
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/20/2019,67,78,62
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/21/2019,71,78,65
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/22/2019,72,80,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/23/2019,75,86,67
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/24/2019,79,86,70
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/25/2019,77,87,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/26/2019,79,90,69
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/27/2019,82,90,72
